position_title;required_skills
Environmental Consultant;['warehouse', 'team leadership', 'work assignment and management', 'structural design', 'work planning', 'specification development', 'project plan', 'coaching', 'contamination delineation (soil, sediment, groundwater, surface water, soil gas)', 'osha compliance', 'environmental testing programs', 'agile methodologies', 'mentoring', 'retail', 'msha/new miner training', 'operations management', 'agile product ownership (preferred)', 'hiring', 'technical leadership', 'stakeholder management', 'cost management', 'jira', 'project oversight', 'multitasking', 'requirements elicitation (preferred)', 'closeout management', 'waterfall methodologies', 'smartsheet', 'data evaluation', 'client relationship management', 'verbal communication', 'engineering design (site/civil, geoenvironmental - preferred)', 'data analysis', 'personnel management', 'school and community relations', 'organization', 'remedial alternative analysis assessments', 'commissioning oversight', 'budgeting', 'administrative support', 'agile sdlc', 'building codes knowledge', 'accounting', 'reporting', 'negotiation', 'user-centered design', 'earthwork site/civil geotechnical stormwater aspects', 'design review', 'engineering', 'computer literacy', 'distribution centers', 'payroll systems knowledge', 'data warehousing', 'vendor management', 'design review oversight', 'predesign services', 'construction management', 'insight translation', 'site investigations', 'industry standard software proficiency', 'risk management', 'decision-making', 'managing application implementations', 'analytical modeling', 'contract administration', 'supply chain', 'problem solving', 'design knowledge', 'sdlc tools (atlassian/azure devops)', 'data interpretation', 'multidisciplinary team leadership', 'scheduling', 'building investigation', 'bidding process management', 'progress monitoring', 'crm', 'persuasion', 'communication skills', 'financial management', 'project scheduling', 'hazwoper compliance', 'ms project', 'retail domain knowledge', 'microsoft office', 'technical management', 'research support', 'quality control planning', 'environmental field observation', 'remedial action work plans', 'cross-functional project management', 'supervising', 'coal combustion residual (ccr) management (preferred)', 'product management', 'meeting coordination', 'staff oversight', 'schedule development', 'phase i/phase ii environmental assessments', 'quality improvement', 'structural analysis', 'cost estimating', 'technical support', 'design firm management', 'communication planning', 'presentation skills', 'program management', 'written communication', 'industrial/solid waste management (preferred)', 'sap', 'resource planning', 'project management', 'task prioritization', 'work site monitoring', 'laboratory test selection', 'revit', 'interpersonal communication']
Project Management Administrator;['bluebeam', 'design/construction experience', 'computer literacy', 'calendar management', 'meeting follow-up', 'design documents familiarity', 'construction phases familiarity', 'project meetings', 'diversity plan execution', 'interfacing', 'document control', 'ms office']
Project Manager;['strategic operations transformation', 'timeline development', 'team leadership', 'bid package assembly', 'autocad proficiency', 'adaptability', 'status reporting', 'cost control', 'teamwork', 'diversity and multidisciplinary teamwork', 'grant management', 'operations management', 'organizational change management', 'design', 'development', 'drawing interpretation', 'site supervision', 'stakeholder management', 'liaison', 'issue tracking', 'project communication', 'program coordination', 'salesforce implementation', 'methods management', 'p&id reading', 'project planning', 'meeting management', 'ship repair', 'microsoft office suite', 'project execution', 'job walks', 'lean practices', 'drawing development', 'problem-solving', 'construction field supervision', 'value engineering', 'ms office proficiency', 'bid evaluation', 'project management software (procore or bluebeam)', 'ship construction', 'materials management', 'analytical skills', 'social media management', 'coordination', 'layout input', 'quality control', 'construction', 'project reporting', 'construction management', 'resource tracking', 'safety management', 'real estate development', 'operational excellence', 'estimating', 'risk management', 'facility management', 'consulting', 'call center management', 'project control', 'process improvement', 'bidding process management', 'scheduling', 'ms office (word, excel, ms teams, sharepoint)', 'bluebeam proficiency', 'website management', 'communication skills', 'special education (idea) knowledge', 'facilitation', 'genesys implementation', 'client management', 'contractor mobilization', 'design input', 'execution', 'process analysis', 'project coordination', 'training & development', 'property management', 'scope of work development', 'business analysis', 'budget management']
Project Manager - Scrum Master;['microsoft word', 'scrum master', 'problem solving', 'project management', 'jira', 'microsoft excel', 'microsoft project', 'microsoft powerpoint', 'agile/scrum methodologies', 'cross-functional team leadership']
Public Investigator;['fcra regulation knowledge', 'tlo', 'lexis nexis', 'clear', 'confidentiality', 'public record investigation', 'legal document analysis', 'due diligence', 'westlaw', 'report writing', 'computer skills', 'time management', 'communication (oral and written)', 'data analysis', 'tech-savvy', 'social media research', 'online research']
Real Estate Acquisitions Analyst;['written communication', 'asset management', 'financial analysis', 'real estate analysis', 'financial modeling', 'due diligence', 'investment underwriting', 'verbal communication', 'financial market research', 'debt analysis']
Real Estate Acquisitions Sales Associate;['negotiation', 'closing', 'contract preparation', 'land acquisition', 'phone skills', 'real estate acquisitions', 'lead generation', 'real estate market research', 'market analysis', 'due diligence', 'real estate sales', 'communication skills (oral and written)']
Real Estate Agent;['local expertise', 'real estate software proficiency', 'sales skills', 'sales', 'interpersonal skills', 'independent work', 'lead management', 'marketing', 'motivation', 'client management', 'communication', 'networking', 'selling', 'budgeting', 'presentation', 'real estate transactions', 'problem-solving', 'lead generation', 'showing properties', 'real estate knowledge', 'leadership', 'real estate', 'client relations', 'negotiation', 'listing', 'communication skills', 'customer service']
Real Estate Attorney;['commercial real estate law', 'commercial real estate leasing', 'commercial real estate acquisitions', 'commercial real estate financing']
Real Estate Investment Management Associate;['attention to detail', 'asset management', 'real estate acquisitions', 'financial modeling', 'valuation', 'due diligence', 'communication skills', 'microsoft office', 'argus software', 'budgeting', 'financing', 'investment banking', 'real estate finance']
Real Estate Paralegal;['attention to detail', 'practice panther', 'independent work', 'commercial transactions', 'analytical skills', 'communication skills', 'excel', 'mortgage lending', 'outlook', 'teamwork', 'client relations', 'real estate transactions']
Real Estate Sales Agent;['sales', 'real estate license', 'lead generation', 'crm', 'knowledge of cleveland, oh area', 'communication skills', 'real estate sales']
Realtor;['negotiation', 'tech savvy', 'lease drafting', 'communication', 'lead generation', 'real estate sales', 'tenant relations', 'customer service']
Recruiter;['team leadership', 'efficiency', 'lever', 'negotiation (compensation packages)', 'zoom', 'indeed', 'saas experience', 'motivation', 'healthcare recruiting', 'sales quota achievement', 'organization', 'vms (vendor management system)', 'account management', 'candidate prescreening', 'candidate screening', 'networking', 'slack', 'gsuite', 'prospecting', 'sales management', 'internet research', 'full-cycle recruiting', 'sourcing', 'presentation skills', 'negotiation skills', 'closing sales', 'crm software proficiency', 'revenue generation', 'interview process management', 'recruiting', 'relationship building', 'resume review', 'closing candidates', 'ats (applicant tracking system)', 'communication skills', 'time management', 'linkedin recruiter']
Registered Nurse;['clinical skills', 'computer aptitude', 'electronic documentation (preferred)', 'critical thinking', 'patient condition reporting', 'assessment', 'cpr', 'physician orders execution', 'patient care', 'patient assessment', 'teamwork', 'cpr certification', 'patient needs management', 'direct care', 'care coordination', 'emergency care', 'patient teaching', 'registered nurse (rn)', 'supervisory skills', 'evaluation', 'silica medical surveillance', 'tncc certification (preferred)', 'planning', 'bls certification', 'multitasking', 'rn license', 'basic medical procedures', 'patient status documentation', 'care planning', 'respiratory health', 'iv certification', 'cardiac monitoring', 'organization', 'disease prevention', 'electronic medical record (emr)', 'return to work programs', 'long term care knowledge', 'supportive living knowledge', 'resident advocacy', 'nursing care', 'reporting', 'drug and alcohol testing', 'collaboration', 'healthcare team communication', 'prioritization', 'nursing process', 'documentation', 'dementia care knowledge', 'standards and regulations compliance', 'occupational health and safety', 'family advocacy', 'health screening', 'decision making', 'nvci training (preferred)', 'independent work', 'bls/cpr', 'nurse-client relationship', 'observation', 'ms office', 'delegation', 'communication', 'pointclickcare (preferred)', 'treatment administration', 'hearing conservation', 'gerontology nursing (preferred)', 'health and safety awareness', 'charge experience (preferred)', 'acute care', 'problem solving', 'supervision', 'basic cardiac life support (bcls)', 'vital signs monitoring', 'patient advocacy', 'mds training', 'patient confidentiality', 'intervention', 'health promotion', 'first aid', 'nursing interventions', 'time management', 'customer service', 'telemetry', 'resident care', 'acls certification (preferred)', 'pediatric care', 'health history collection', 'pals certification (preferred)', 'active oh nursing license', 'carna license', 'registered nurse competencies', 'raimds 2.0 tool (preferred)', 'central line trained (preferred)', 'continuity of care', 'counseling', 'leadership', 'epic emr (preferred)', 'covid-19 screening and testing', 'written communication', 'implementation', 'continuing care/gerontology experience', 'patient monitoring', 'trauma triage (preferred)', 'remaining calm under pressure', 'enpc certification (preferred)']
Medical Billing and Coding Specialist;['precertification/authorization', 'prolonged sitting/standing', 'payment collection', 'patient interviewing', 'data entry', 'patient registration', 'insurance verification']
Release Project;['organization', 'deployment', 'attention to detail', 'communication', 'problem solving', 'release management', 'project management', 'continuous delivery', 'adaptability', 'cross-functional collaboration', 'follow-through', 'multitasking', 'continuous integration']
Representative Klaim & Pusat Panggilan;['benefits administration', 'call center experience', 'claims processing', 'commercial insurance', 'medicare', 'communication skills', 'computer skills', 'microsoft office', 'health insurance knowledge', 'customer service', 'medicaid']
Restaurant Operations;['labor law knowledge', 'inventory management', 'action planning', 'goal setting', 'problem solving', 'cost management', 'microsoft office proficiency', 'operations management', 'staffing', 'vendor management', 'restaurant management', 'motivation', 'empowerment', 'leadership', 'scheduling', 'training']
Retail Sales;['organization', 'physical stamina', 'sales', 'inventory management', 'product knowledge', 'payment processing', 'cleaning', 'stocking', 'customer service']
Retail Sales Associate;['sales', 'hospitality', 'interpersonal skills', 'product knowledge', 'dependability', 'adaptability', 'computer skills', 'fast-paced environment adaptability', 'pos systems operation', 'organization', 'communication', 'inventory management', 'teamwork', 'resourcefulness', 'point of sale (pos)', 'problem solving', 'cash handling', 'omni-channel proficiency', 'basic math', 'customer needs analysis', 'merchandising', 'reading', 'transaction processing', 'adaptability (willing to learn new programs)', 'communication skills', 'physical stamina (standing for extended periods, lifting up to 50 lbs)', 'loyalty program promotion', 'writing', 'rapport building', 'multitasking', 'customer service', 'physical stamina (lifting heavy objects)']
Mailroom Coordinator;['mailroom operations', 'package tracking software proficiency', 'prioritization', 'organization skills', 'workstation setup', 'independent work', 'driving', 'adaptability to fast-paced environment', 'physical stamina (lifting up to 50 lbs)', 'computer skills', 'office supplies management', 'copy machine operation', 'multitasking', 'office management assistance', 'postage knowledge']
Sales;['reseller ecosystem management', 'sales', 'interpersonal skills', 'business acumen', 'needs analysis', 'marketing', 'lead qualification', 'adaptability', 'saas', 'management', 'fast-paced environment adaptability', 'coaching', 'account management', 'guest services', 'networking', 'sense of urgency', 'teamwork', 'channel management', 'erp solutions', 'independence', 'product demonstration', 'healthcare provider market expertise', 'accountability', 'active listening', 'influencing', 'consultative selling', 'collaboration skills', 'rapport building', 'multitasking', 'community marketing', 'video conferencing sales', 'hospitality', 'client relationship management', 'sales planning', 'retail management', 'management experience', 'customer data analysis', 'direct sales', 'google workspace', 'credibility building', 'customer relationship management', 'healthcare it sales', 'negotiation', 'telephone etiquette', 'proactive planning', 'business development', 'relationship building', 'complex sales process management', 'strategic planning', 'sales funnel management', 'decision making', 'executive relationship building', 'sales execution', 'optimism', 'energy', 'communication', 'sales process understanding', 'customer experience delivery', 'revenue target achievement', 'presentation', 'physical stamina (lifting up to 75 lbs without help and up to 150 lbs with assistance)', 'revenue cycle knowledge', 'problem solving', 'engagement', 'sales management', 'product ordering', 'solution mapping', 'quota achievement', 'database management', 'sales goals achievement', 'strong work ethic', 'crm', 'communication skills', 'writing', 'lease agreement management', 'customer service', 'cold calling', 'strategic partnerships', 'telemarketing', 'microsoft office', 'strategic thinking', 'territory planning', 'inventory management', 'pricing and revenue management', 'pricing strategy', 'organizational skills', 'event planning', 'quota management', 'positioning', 'channel marketing', 'operational effectiveness', 'self-motivation', 'lead generation', 'visual merchandising', 'target achievement', 'prospecting', 'leadership', 'presentation skills', 'sales opportunity identification', 'c-level executive communication', 'forecasting', 'financial acumen']
Sales & Marketing;['pricing', 'business case development', 'marketing strategy', 'writing skills', 'product development', 'competitive analysis', 'key account management', 'consumer sector knowledge', 'time management', 'articulation', 'customer relationship management', 'leadership', 'derivatives knowledge', 'financial planning', 'equity market valuation', 'sales planning']
Sales Associate;['flexibility', 'price management', 'sales', 'interpersonal skills', 'product knowledge', 'adaptability', 'marketing', 'ability to learn new systems', 'customer needs identification', 'mathematical skills', 'account management', 'logistics', 'networking', 'home furnishing knowledge', 'teamwork', 'de-escalation', 'product support', 'cash register operation', 'point of sale (pos)', 'retail', 'people skills', 'fashion knowledge', 'computer proficiency', 'listening', 'mathematics', 'wireless solutions presentation', 'stockroom organization', 'reading comprehension', 'lifting (up to 30 lbs)', 'operating room etiquette', 'visual display building', 'cleanliness/organization', 'upbeat attitude', 'clientele building', 'english proficiency', 'rapport building', 'multitasking', 'sales analytics', 'hospitality', 'client relationship management', 'product knowledge (sporting goods equipment and apparel)', 'organization', 'goal achievement', 'pos system', 'piercing skills', 'customer service skills', 'marketing (account acquisition)', 'attention to detail', 'brand building', 'space planning', 'trend awareness', 'cash handling', 'jewelry knowledge', 'interior design', 'customer relationship management', 'collaboration', 'technology aptitude', 'interior decor knowledge', 'business development', 'prioritization', 'merchandising', 'reading', 'customer loyalty', 'relationship building', 'compliance', 'cleaning', 'coordination', 'client acquisition', 'e-commerce', 'results-oriented approach', 'decision making', 'computer literacy', 'customer engagement', 'clienteling', 'independent work', 'microsoft office suite (word, outlook)', 'outgoing personality', 'microsoft word', 'work ethic', 'communication', 'sales register proficiency', 'microsoft excel', 'multi-tasking', 'communication (oral and written)', 'continuous learning', 'sterile processing', 'problem solving', 'willingness to learn', 'digital tools proficiency', 'sales proposals', 'client outreach', 'passion for helping others', 'professionalism', 'continuous improvement', 'brand ambassadorship', 'sales goals achievement', 'goal oriented', 'kpi management', 'styling', 'communication skills', 'design sense', 'time management', 'writing', 'customer delight focus', 'customer service', 'surgical procedure assistance', 'computer skills', 'microsoft office', 'coachability', 'store cleanliness', 'physical stamina (lifting up to 50 lbs)', 'strategic thinking', 'sales floor maintenance', 'adherence to policies and procedures', 'watch knowledge', 'inventory management', 'animal care', 'organizational skills', 'food service product knowledge', 'loss prevention', 'shipping and receiving', 'stocking', 'listening skills', 'physical stamina', 'self-motivation', 'retail technology proficiency', 'lead generation', 'customer relations', 'commitment to quality', 'order processing', 'store operations support', 'operations', 'basic math', 'presentation skills', 'medical terminology', 'delivery processing', 'microsoft suite', 'fashion awareness', 'complaint handling', 'cashiering', 'data entry', 'consumer focus', 'report writing', 'upselling']
Sales Associate/Customer Service Representative;['inventory management', 'pos systems', 'troubleshooting skills', 'communication skills', 'customer service']
Sales Client Management;['investment banking operations technology', 'senior management interaction', 'account management', 'sales', 'financial services', 'change management', 'fintech', 'relationship management']
Sales Leader;['customer relationship management', 'decision making', 'team management', 'conflict management', 'financial analysis', 'metrics development', 'managing multiple priorities', 'critical thinking', 'selling', 'effective communications', 'dashboard development', 'sales reporting', 'business insights', 'sales management', 'data analysis', 'prospect management', 'strategy execution', 'coaching']
Sales Professional;['hospitality experience', 'product knowledge', 'relationship building', 'luxury retail experience', 'interpersonal communication', 'communication skills', 'client relations', 'customer service']
Sales Representative;['sales', 'territory management', 'financial analysis', 'personal discipline', 'product knowledge', 'objection handling', 'marketing', 'driving (valid license and clean record)', 'retail management (tire/automotive)', 'channel development', 'organization', 'closing', 'business model transformation', 'account management', 'appointment setting', 'communication', 'hvac industry knowledge', 'microsoft office proficiency', 'interviewing', 'travel', 'business relations', 'microsoft office suite', 'teamwork', 'willingness to be coached', 'pump industry knowledge', 'outside sales', 'multi-unit retail operations', 'self-motivation', 'franchise management (automotive/retail)', 'physical stamina (ability to lift 50 pounds)', 'prospecting', 'district/area management', 'sales (5+ years)', 'after-sales service', 'customer needs assessment', 'closing sales', 'business-to-business (b2b) sales', 'growth initiatives implementation', 'integrity', 'documentation', 'business coaching', 'forecasting', 'new account acquisition', 'relationship building', 'sales (automotive)', 'communication skills', 'time management', 'cooling tower industry knowledge', 'retail execution', 'client acquisition', 'customer service']
Sales Service Representative;['sales', 'inventory management', 'product knowledge', 'customer focus', 'relationship building', 'organizational skills', 'analytical skills', 'communication skills', 'time management', 'commercial roofing', 'multitasking', 'training', 'presentation skills', 'negotiation skills']
Sales Stylist;['problem-solving', 'communication', 'product knowledge', 'multilingualism (mandarin)', 'team building', 'leadership', 'ms office suite', 'customer service']
Sales and Customer Service;['interpersonal skills', 'adaptability', 'coaching', 'retail management', 'communication skills (written & verbal)', 'organizational skills', 'sense of urgency', 'leadership skills', 'teamwork', 'reporting', 'computer proficiency', 'sales management', 'microsoft office suite (word, powerpoint, excel, exchange)', 'presentation skills', 'rf equipment operation', 'prioritization', 'workload management', 'merchandising', 'stock management', 'time management', 'multitasking', 'customer service']
Sales and Marketing;['sales', 'customer acquisition', 'events industry sales', 'marketing', 'new business development', 'client relationship management', 'verbal communication', 'customer retention', 'cross-functional team collaboration', 'process orientation', 'attention to detail', 'team coordination', 'event management', 'leadership', 'training', 'customer service', 'written communication', 'project management', 'multitasking', 'team building']
Sales and Marketing Representative;['face to face customer service', 'product demonstrations', 'brand management', 'enthusiastic', 'customer upgrades', 'customer representation', 'new customer acquisitions', 'creative', 'ambitious', 'proactive']
Salesforce QA Tester;['uat (user acceptance testing)', 'written communication', 'regression testing', 'test scheduling', 'business requirements analysis', 'alm (application lifecycle management)', 'functional testing', 'tfs (team foundation server)', 'test planning', 'test case creation', 'agile/scrum', 'software testing', 'salesforce implementation testing']
Search Optimization;['seo tools (google analytics, semrush, search console)', 'onpage optimization', 'communication', 'keyword research', 'problem solving', 'seo', 'content gap analysis', 'project management', 'marketing', 'search behavior analysis', 'data analysis', 'strategic thinking', 'technical audits']
Building Operations Manager;['organization', 'electrical service', 'problem solving', 'management', 'hvac', 'operations management', 'leadership', 'plumbing', 'supervisory', 'customer service']
Social Content Creator;['social media performance analysis', 'brand representation', 'social media advertising', 'tiktok content creation', 'instagram reels content creation', 'on-camera performance']
Social Media and Marketing;['social media management', 'content creation']
Full Stack Developer;['saas development', 'restful web services apis', 'frontend framework experience', 'algorithms', 'data structures', 'asynchronous data flow', 'react', 'docker', 'performant query design', 'mysql', 'ruby on rails', 'redux', 'relational database schema design', 'server-side performance', 'scalability']
Software Engineer;['ssh', 'quality assurance', 'interpersonal skills', 'ci/cd pipelines', 'bitbucket', 'saas applications development', 'adaptability', 'nosql', 'azure', 'software development lifecycle (sdlc)', 'wordpress', 'cassandra', 'optimization', 'software maintenance', 'networking', 'powershell', 'postgresql', 'asp.net', 'software support', 'scrum', 'rest', 'teamwork', 'cryptography', 'java', 'technical discovery', 'research design', 'mentoring', 'yaml', 'data migrations', 'system integration', 'docker', 'software implementation', 'sql', 'integration', 'software qa', 'design', 'database architecture', 'go', 'web technologies', 'database structure improvement', 'django', 'object-relational mapping (orm)', 'cad', 'linux', 'software modeling in real-time response environments', 'jira', 'sinatra', 'angular', 'web api', 'c#', 'python', 'design patterns', 'troubleshooting', 'vuejs', 'heroku', 'code review', 'clean code', 'test-driven development (tdd)', 'git', 'requirements analysis', 'algorithms', 'windows os', 'full stack web development', 'rest api', 'leading development efforts', 'coding', 'sdlc', 'web application development', 'schema design', 'cloud-based solutions', 'design documentation', 'back-end programming', 'container development', 'mvc architecture', 'software upgrade', 'devops', 'javascript frameworks', 'soap', 'laravel', 'application development', 'typescript', 'cicd tools', 'ios mobile development', 'ssl', 'performance optimization', 'debugging', 'access management', 'architecting', 'qa', 'communication (written & verbal)', 'client-server development', 'cloud services', 'terraform', 'php', 'regulatory compliance (iso 13485, en iso 14971, hipaa)', 'rails', 'agile', 'html', 'backend services', 'complex queries', 'communication', 'programming', 'kotlin', 'custom feature builds', 'technical specifications', 'groovy', 'technical documentation', 'c', '.net', 'aws', 'testing', 'problem solving', 'uml', 'node.js', 'application architecture', 'product development (holistic view)', 'deployment', 'web architecture', 'ruby', 'swift', 'usability', 'vcs', 'c++', 'time management', 'communication skills', 'interface development', 'css', 'web frameworks (express, ruby on rails, django, flask, spring mvc)', 'react', 'embedded software development', 'assembly language', 'system design', 'nextjs', 'ada', 'software engineering', 'normalization', 'security authentication', 'computer science fundamentals', 'rspec', 'microservices', 'web services', 'blockchain', 'code standards', 'agile team collaboration', 'code testing', 'http protocols', 'version control', 'jenkins', 'json', 'software development life cycle', 'problem-solving skills', 'spring', 'object-oriented programming', 'fullstack development', 'databases', 'operating systems', 'xamarin forms', 'cypress', 'oop', 'github', 'serial communications protocols', 'bash', 'frameworks (struts, spring, spring boot, microservices)', 'command line', 'software design', 'custom architecture', 'data structures', 'implementation', 'software integration', 'javascript', 'diagnostic skills', 'test automation', 'backend development', 'implement complex multitiered solutions', 'monitoring', 'kubernetes', 'gcp']
Software Networking;['access control policies', 'management and control protocols for distributed devices', 'saml', 'oidc', 'authentication protocols', 'nat', 'split routing', 'network routing', 'network control systems', 'web backend infrastructure tuning']
Software Solutions Sales Director;['delegation', 'market expertise', 'sales strategy', 'sales leadership', 'saas selling', 'budgeting', 'teamwork']
Software Test Engineer;['java', 'python', 'communication', 'test automation frameworks (selenium)', 'ci/cd pipelines', 'software test automation', 'collaboration', 'infrastructure as code (terraform)']
Software Tester;['test execution', 'team working', 'programming languages', 'qa methodologies', 'test analysis', 'test scripting', 'critical thinking', 'test management software', 'bug reporting', 'test planning']
Special Agent;['interpersonal skills', 'arrest procedures', 'investigation', 'warrant service', 'independent work', 'interviewing', 'federal law enforcement', 'firearms proficiency', 'report writing', 'communication skills', 'data analysis', 'self-defense tactics', 'evidence collection', 'surveillance', 'collaboration', 'testifying']
Special Education Teacher;['resource provision', 'teaching', 'student support', 'ohio teaching license (valid)', 'knowledge of instructional strategies for handicapped students', 'middle school education', 'elementary education', 'ohio supervisory/administrative certification/licensure (valid)', 'instructional services', 'education of the handicapped certification (k or intervention specialist)', 'classroom management', 'classroom teaching experience (intervention specialist - 5+ years)', 'knowledge of special education laws and regulations', 'direction/guidance', 'special education', 'collaboration']
Staf Operasi Strategis;['data analytics', 'influence', 'problem-solving', 'business case development', 'communication', 'cross-functional project management', 'm&a activities', 'information synthesis', 'change management', 'strategic planning', 'strategy consulting', 'leadership', 'presentation skills', 'budget management']
Program Manager;['stakeholder management', 'problem-solving', 'strategic initiative coordination', 'event planning', 'executive presentation skills', 'analytical skills', 'change management', 'time management', 'microsoft office', 'communication skills (verbal & written)']
Staff Accountant;['financial reporting', 'bookkeeping', 'accounting', 'accruals', 'microsoft excel', 'expense analysis', 'data analysis', 'account reconciliation']
Staff Attorney;['negotiation', 'flexibility', 'grant proposal writing', 'mentoring', 'attention to detail', 'prioritization', 'volunteer attorney recruitment', 'problem solving', 'interpersonal communication', 'legal case management', 'litigation', 'community outreach', 'working under pressure', 'creativity', 'program reporting', 'consumer debt litigation', 'bankruptcy law (chapter 7 and/or 13)']
Staff Software Engineer;['java', 'product roadmaps', 'high-performance systems', 'api architecture', 'rest apis', 'debugging distributed systems', 'c++', 'go', 'large scale systems', 'c', 'python', 'system architecture']
Statistical Programmer;['cdisc/sdtm', 'adam', 'documentation', 'analytical skills', 'regulatory compliance', 'time management', 'leadership', 'statistical programming', 'sas programming']
Strategi & Hubungan Eksternal;['social/racial justice and health equity commitment', 'senior-level external relationship building', 'independent leadership', 'mentoring', 'project management', 'operations management', 'management', 'strategic thought partnership', 'coaching']
Strategic Operations Management;['data analytics', 'program management', 'influence', 'negotiation', 'business operations management', 'strategic business initiatives', 'problem solving', 'project management', 'cross-functional team management', 'relationship building', 'change management', 'strategic planning', 'analytical skills', 'process improvement', 'leadership', 'strategic thinking', 'communication (written & verbal)', 'presentation skills']
Strategy & Operations;['web scraping software', 'communication', 'database integration', 'database reporting tools', 'prospect development', 'data quality enhancement', 'lead management', 'sql', 'analytical skills', 'problem-solving skills', 'data analysis']
Strength & Conditioning;['organization', 'attention to detail', 'member life improvement', 'knowledge acquisition', 'building training business through referrals', 'relationship building', 'verbal communication', 'safe and effective exercise instruction', 'professional fitness instruction', 'nonverbal communication', 'motivation', 'fitness program creation', 'fitness assessment', 'positive attitude', 'punctuality', 'personalized attention', 'coaching']
Supply Chain Analyst;['spreadsheet software', 'report generation', 'supply market analysis', 'cost estimation', 'vendor onboarding', 'construction', 'subcontractor management', 'purchasing', 'business acumen', 'vendor management', 'stem background (preferred)', 'microsoft office', 'data analysis', 'business insights', 'automation', 'spotfire', 'cost modeling', 'supply risk management', 'total cost of ownership (tco) analysis', 'material utilization', 'mathematical skills', 'time management skills', 'communication', 'inventory management', 'demand planning', 'organizational skills', 'microsoft excel', 'supply chain knowledge (preferred)', 'supply chain data analysis', 'technology leverage', 'supplier performance management', 'supply chain', 'data insights', 'data sourcing', 'word processing', 'reporting', 'process improvement', 'scheduling', 'bid evaluation', 'sourcing', 'presentation skills', 'negotiation', 'analytical reporting', 'trend analysis', 'warehouse management', 'efficiency improvement', 'sap', 'decision making support', 'analytical support', 'database management', 'compliance', 'project management', 'analytical skills', 'communication skills', 'reconciliation', 'invoice processing']
Surveillance Investigator;['attention to detail', 'pre-surveillance strategy', 'investigation', 'video evidence capture', 'investigation skills', 'interviewing', 'driving', 'report writing', 'monitoring', 'data collection', 'surveillance', 'observation']
System Administrator;['backup and recovery', 'system installation', 'help desk support', 'unix shell scripting', 'client copies', 'root cause analysis', 'it policies and procedures', 'troubleshooting', 'network monitoring', 'group policy', 'resolution', 'performance tuning', 'enterprise portal', 'it support', 'user training', 'user support', 'active directory', 'windows server', 'oracle database administration', 'printer management', 'hyper-v', 'unix/linux system administration', 'networking', 'perl scripting', 'network security', 'system administration', 'software management', 'virtualization', 'problem analysis', 'it infrastructure management', 'routers', 'mobile device management', 'disaster recovery', 'network maintenance', 'helpdesk ticket management', 'hardware platforms', 'network administration', 'system refreshes', 'operating systems', 'databases', 'tcp/ip', 'helpdesk systems', 'office 365', 'pi', 'security', 'call managers', 'single sign-on', 'exchange', 'hardware maintenance', 'sql server', 'nwdi architecture', 'sap', 'documentation', 'project management', 'solution manager', 'system upgrades', 'sap instance configuration', 'sap basis administration', 'oracle performance tuning']
System Software Developer;['parallel graphics/compute', 'rtos', 'machine learning', 'iot', 'vr', 'software containerization', 'drivers', 'assembly', 'computer vision', 'microcontrollers', 'ai', 'autonomous driving', 'optimization', 'machine learning frameworks', 'fpga/verilog/rtl design', 'memory/resource management', 'java', 'data structures and algorithms', 'operating systems', 'embedded systems', 'firmware', 'version control/ci', 'bash', 'windows', 'open source embedded software', 'c/c++ programming', 'linux kernel', 'cloud', 'linux', 'virtual simulation platforms', 'python']
Systems Administrator;['desktop os', 'software evaluation', 'report generation', 'help desk support', 'interpersonal skills', 'ci/cd pipelines', 'networking', 'operating systems installation', 'ms sql', 'integrated library systems (ils) management', 'server administration', 'wireless networking', 'teamwork', 'storage administration', 'security improvement', 'tcp/ip', 'docker', 'server hardware', 'remote support', 'infrastructure administration', 'technical leadership', 'network protocols', 'aws administration', 'it project management', 'multitasking', 'dns', 'troubleshooting', 'san storage (preferred)', 'software upgrade coordination', 'verbal communication', 'data analysis', 'git', 'software installation', 'cybersecurity', 'security concepts', 'virtual servers', 'system configuration', 'office 365', 'scripting', 'dns/dhcp', 'unix/linux administration', 'prioritization', 'containerization', 'palo alto', 'security systems', 'shoretel', 'decision making', 'independent work', 'vmware', 'data migration', 'end user support', 'vendor management', 'configuration management', 'system upgrading', 'business continuity solutions', 'tableau', 'active directory', 'sierra ils', 'powershell scripting', 'encryption', 'dfs', 'programming', 'maintenance', 'procedure documentation', 'cisco', 'system enhancements', 'technical documentation', 'group policy management', 'aws', 'physical servers', 'process documentation', 'problem solving', 'systems architecture', 'software analysis', 'windows', 'server management', 'installation', 'sd-wan velocloud administration', 'azure (preferred)', 'database management', 'system management', 'network management', 'communication skills', 'time management', 'backup and recovery', 'postgre sql', 'remediation tools', 'helpdesk support', 'performance tuning', 'dhcp administration', 'hardware troubleshooting', 'multi-tiered client-server systems (preferred)', 'windows server', 'automation workflows', 'telephony', 'virtualization', 'organizational skills', 'backups', 'disaster recovery', 'systems engineering', 'exchange to office 365 migration', 'aws dynamodb', 'mac os x', 'remote management', 'github', 'desktop support', 'technical support', 'training', 'written communication', 'hardware analysis', 'kubernetes']
